               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.11673,           0.0093656,            0.020866,             0.34549,             0.17731,             0.15277,            0.065541,             0.11895,            0.020205,            0.024941,             0.00769,             0.00769,             0.00769
                  37,             0.11503,           0.0094758,            0.020235,             0.35922,             0.16196,             0.15263,            0.064733,             0.11913,            0.019802,            0.024688,            0.007624,            0.007624,            0.007624
                  38,             0.11527,            0.009303,            0.020282,             0.35885,             0.16915,             0.16353,            0.070627,              0.1183,            0.020394,            0.024282,            0.007558,            0.007558,            0.007558
                  39,             0.11605,           0.0093284,            0.020815,             0.39164,             0.17428,             0.15724,            0.068742,             0.11805,            0.020493,            0.024641,            0.007492,            0.007492,            0.007492
                  40,             0.11435,           0.0094237,            0.020321,             0.37656,             0.18887,             0.17759,            0.075542,             0.11736,             0.02016,            0.024313,            0.007426,            0.007426,            0.007426
                  41,               0.115,           0.0093231,            0.020062,             0.36255,             0.17854,             0.16725,            0.071555,             0.11825,            0.019996,            0.024325,             0.00736,             0.00736,             0.00736
                  42,             0.11521,           0.0093367,            0.020015,             0.37508,             0.18902,             0.17536,            0.075954,             0.11831,            0.020453,            0.024175,            0.007294,            0.007294,            0.007294
                  43,             0.11415,           0.0095197,            0.019832,             0.26241,             0.12166,             0.12246,             0.05251,             0.12609,            0.021436,            0.030142,            0.007228,            0.007228,            0.007228
                  44,             0.11398,            0.009395,            0.019845,             0.24592,             0.19062,             0.17506,            0.074837,             0.11894,            0.020444,            0.024036,            0.007162,            0.007162,            0.007162
                  45,             0.11373,            0.009386,            0.019971,             0.25185,             0.18466,             0.16621,            0.073735,             0.11959,            0.021092,            0.024631,            0.007096,            0.007096,            0.007096
                  46,             0.11425,           0.0094715,             0.01998,             0.37917,             0.19616,             0.18271,            0.080767,             0.11712,            0.020146,            0.024006,             0.00703,             0.00703,             0.00703
                  47,             0.11373,           0.0093326,              0.0198,             0.23381,             0.19058,             0.16914,            0.073858,             0.11845,            0.020686,            0.024162,            0.006964,            0.006964,            0.006964
                  48,             0.11229,           0.0092518,            0.019686,             0.22974,             0.20059,             0.18884,            0.080887,             0.11748,             0.02052,             0.02352,            0.006898,            0.006898,            0.006898
                  49,             0.11298,           0.0095224,            0.019356,             0.55835,             0.18242,             0.19152,              0.0854,             0.11561,            0.019993,            0.023993,            0.006832,            0.006832,            0.006832
                  50,             0.11408,           0.0093457,            0.019722,             0.25376,             0.20337,             0.18808,            0.082931,             0.11625,            0.020812,            0.023876,            0.006766,            0.006766,            0.006766
                  51,             0.11308,           0.0093399,            0.019462,             0.25696,              0.1893,             0.17371,            0.078431,             0.11786,            0.020845,             0.02493,              0.0067,              0.0067,              0.0067
                  52,              0.1125,           0.0092856,            0.019042,             0.26072,             0.20352,             0.18341,            0.080441,             0.11635,            0.020715,            0.023682,            0.006634,            0.006634,            0.006634
                  53,             0.11289,           0.0093426,            0.019393,             0.40336,             0.18805,             0.18863,            0.084731,             0.11592,            0.020023,            0.023894,            0.006568,            0.006568,            0.006568
                  54,             0.11241,           0.0093506,            0.019065,             0.23743,             0.19911,              0.1759,            0.077171,             0.11661,            0.020611,            0.024351,            0.006502,            0.006502,            0.006502
                  55,             0.11214,           0.0094845,            0.019417,             0.24577,             0.22146,              0.1969,            0.088638,             0.11449,            0.020068,            0.023224,            0.006436,            0.006436,            0.006436
                  56,               0.113,           0.0093236,            0.019467,             0.24864,             0.20685,             0.18831,            0.083694,             0.11741,            0.019911,            0.023984,             0.00637,             0.00637,             0.00637
                  57,             0.11208,           0.0093857,            0.018887,             0.28226,             0.20029,             0.18852,            0.085943,             0.11577,            0.020752,            0.024244,            0.006304,            0.006304,            0.006304
                  58,             0.11191,           0.0094944,            0.019092,             0.24937,             0.21284,             0.19543,            0.087044,             0.11627,            0.020659,            0.023571,            0.006238,            0.006238,            0.006238
                  59,             0.11176,            0.009303,            0.019012,             0.26884,              0.2247,             0.20008,            0.089544,             0.11587,            0.019798,            0.023159,            0.006172,            0.006172,            0.006172
                  60,             0.11171,           0.0094024,            0.018617,             0.30143,             0.22461,              0.2001,            0.091113,             0.11607,            0.020256,            0.023571,            0.006106,            0.006106,            0.006106
